,TMAX,TMIN,RAIN,SRAD,RHUM
2021-03-02,23.7,16.3,0.0,16.58,73
2021-03-03,20.4,15.7,0.0,6.53,75
2021-03-04,27.8,15.1,0.5,14.47,80
2021-03-05,27.8,17.8,0.0,13.4,83
2021-03-06,28.1,17.4,0.0,16.66,82
2021-03-07,23.3,17.0,0.0,13.48,84
2021-03-08,25.9,16.9,0.0,17.48,78
2021-03-09,26.5,16.4,0.0,20.27,81
2021-03-10,27.2,16.1,0.0,21.71,79
2021-03-11,26.5,17.3,0.0,21.8,79
2021-03-12,27.7,17.1,0.0,22.71,75
2021-03-13,27.6,16.9,0.0,21.76,73
2021-03-14,27.2,16.3,0.0,24.49,71
2021-03-15,27.2,16.6,0.0,22.93,73
2021-03-16,29.7,17.8,0.0,25.5,66
2021-03-17,29.3,18.2,0.0,20.96,73
2021-03-18,29.1,17.8,0.0,23.63,77
2021-03-19,28.7,18.0,0.0,16.95,79
2021-03-20,30.0,19.7,0.0,20.9,77
2021-03-21,25.5,15.8,0.0,20.88,75
2021-03-22,16.8,13.1,1.0,2.5,80
2021-03-23,22.9,14.2,0.0,9.12,79
2021-03-24,21.6,15.1,12.0,4.88,94
2021-03-25,26.3,12.8,0.0,26.82,76
2021-03-26,27.4,17.3,0.0,22.98,75
2021-03-27,30.2,18.1,0.0,21.27,73
2021-03-28,31.4,21.6,0.0,22.07,73
2021-03-29,30.8,21.2,0.0,21.63,78
2021-03-30,30.7,24.0,0.0,12.49,76
2021-03-31,31.4,21.8,0.0,20.66,80
2021-04-01,29.3,23.5,0.0,9.63,82
2021-04-02,32.3,21.1,0.0,24.08,77
2021-04-03,30.1,22.5,0.0,0.0,79
2021-04-04,29.3,19.7,0.0,21.04,75
2021-04-05,28.1,18.7,0.0,23.35,57
2021-04-06,28.8,17.1,0.0,25.28,62
2021-04-07,24.9,16.9,0.0,8.12,73
2021-04-08,27.9,18.3,0.0,0.0,77
2021-04-09,23.2,17.2,0.0,12.1,74
2021-04-10,27.4,17.0,0.0,0.0,76
2021-04-11,28.3,16.7,0.0,0.0,81
2021-04-12,29.0,19.1,0.0,25.85,77
2021-04-13,30.0,19.5,0.0,24.72,76
2021-04-14,28.8,19.8,0.0,19.7,74
2021-04-15,29.0,18.5,0.0,25.46,73
2021-04-16,30.2,19.6,0.0,25.49,73
2021-04-17,30.3,21.0,0.0,18.67,68
2021-04-18,29.1,20.2,0.0,18.48,64
2021-04-19,29.2,20.1,0.0,18.24,63
2021-04-20,29.4,21.7,0.0,21.19,68
2021-04-21,29.7,22.7,0.0,2.23,72
2021-04-22,29.2,21.4,0.0,20.5,82
2021-04-23,30.5,21.4,0.0,26.44,77
2021-04-24,30.9,20.8,0.0,26.11,77
2021-04-25,26.1,21.3,0.0,4.54,79
2021-04-26,29.4,20.0,0.0,17.09,75
2021-04-27,28.2,21.1,3.0,12.79,81
2021-04-28,27.1,21.3,0.0,11.58,83
2021-04-29,24.3,19.9,10.0,5.48,92
2021-04-30,29.3,18.6,0.0,25.97,78
2021-05-01,29.7,20.0,0.0,20.37,73
2021-05-02,30.6,19.0,0.0,22.02,77
2021-05-03,28.9,22.1,0.5,11.62,79
2021-05-04,32.0,22.1,0.0,18.03,79
2021-05-05,30.5,20.5,0.0,16.01,80
2021-05-06,31.2,20.1,0.0,27.67,75
2021-05-07,32.2,22.5,0.0,21.17,75
2021-05-08,32.6,23.6,0.0,23.72,78
2021-05-09,33.7,23.6,0.0,28.59,74
2021-05-10,32.1,24.4,0.0,24.41,76
2021-05-11,33.9,24.1,0.0,26.85,71
2021-05-12,33.9,23.6,0.0,30.1,67
2021-05-13,33.7,24.9,0.0,25.41,72
2021-05-14,33.2,25.0,0.0,25.34,76
2021-05-15,34.5,24.2,0.0,29.55,73
2021-05-16,35.5,26.0,0.0,28.49,70
2021-05-17,34.1,25.3,0.0,27.79,68
2021-05-18,34.5,26.4,0.0,23.05,73
2021-05-19,35.0,26.0,0.0,26.01,73
2021-05-20,34.9,25.2,0.0,22.79,66
2021-05-21,34.5,26.1,0.0,26.88,66
2021-05-22,34.4,26.6,0.0,21.82,71
2021-05-23,35.2,26.1,0.0,28.72,70
2021-05-24,34.7,26.0,0.0,25.85,73
2021-05-25,34.2,25.2,0.0,30.32,71
2021-05-26,34.1,25.5,0.0,26.88,72
2021-05-27,35.0,26.0,0.0,26.43,70
2021-05-28,34.9,26.8,0.0,28.31,69
2021-05-29,33.5,27.0,0.0,10.1,76
2021-05-30,27.8,22.3,139.0,6.47,94
2021-05-31,30.0,23.9,41.0,7.15,97
